T1,T2,S1,S2,A_FT1,A_FT2,A_G,A_W,A_D,A_L,A_GP,A_GM,A_GD,A_P2PA,A_P2PB,A_Perc,A_PP,A_P3P,B_FT1,B_FT2,B_G,B_W,B_D,B_L,B_GP,B_GM,B_GD,B_P2PA,B_P2PB,B_Perc,B_PP,B_P3P
Belarus,Ukraine,1,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,-2,5,2,1,2,5,7,-2,5,5,500,7,7
Lithuania,Estonia,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
England,San Marino,6,0,14,5,62,26,19,17,79,56,23,71,53,573,79,97,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Russia,Sweden,1,0,10,1,40,17,8,15,66,47,19,42,38,525,44,59,11,-2,46,16,13,17,74,69,5,45,47,489,50,61
Spain,Slovakia,2,0,14,10,59,29,12,18,92,66,26,70,48,593,86,99,1,-1,4,1,1,2,5,7,-2,3,5,375,4,4
Switzerland,Slovenia,3,2,10,3,33,11,6,16,45,59,-14,28,38,424,34,39,2,-1,6,1,1,4,5,10,-5,3,9,250,4,4
Austria,Moldova,1,0,7,-4,29,12,4,13,43,47,-4,28,30,483,28,40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Liechtenstein,Montenegro,0,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Iceland,Kazakhstan,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Czech Republic,Latvia,2,1,9,-2,33,12,5,16,47,49,-2,29,37,439,30,41,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Turkey,Netherlands,3,0,2,-3,10,5,1,4,20,17,3,11,9,550,15,16,10,3,50,27,11,12,86,48,38,65,35,650,84,92
Wales,Israel,0,0,1,-14,5,1,3,1,4,4,0,5,5,500,5,6,1,-11,3,0,2,1,1,3,-2,2,4,333,2,2
Malta,Azerbaijan,2,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Croatia,Norway,0,2,4,1,16,7,2,7,21,17,4,16,16,500,23,23,3,-4,8,2,3,3,7,8,-1,7,9,438,9,9
Bosnia & Herzegovina,Andorra,3,0,1,1,3,1,0,2,4,4,0,2,4,333,3,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Cyprus,Belgium,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,12,1,41,14,9,18,52,66,-14,37,45,451,44,51
Italy,Bulgaria,1,0,18,14,83,45,20,18,128,77,51,110,56,663,124,155,7,-4,26,3,8,15,22,53,-31,14,38,269,17,17
Armenia,Denmark,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4,-1,16,8,2,6,27,24,3,18,14,563,23,26
Gibraltar,Poland,1,8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7,-2,31,15,5,11,44,40,4,35,27,565,37,50
