T1,T2,S1,S2,Draw,ELO1,ELO2,Prob1,Prob2
Turkey,Spain,0,3,0,1790,1918,0.3236983305,0.6763016695
Belgium,Rep. of Ireland,3,0,0,1924,#N/A,#N/A,#N/A
Hungary,Iceland,1,1,1,1695,1728,0.452651482,0.547348518
Portugal,Austria,0,0,1,1874,1688,0.7447304069,0.2552695931
France,Switzerland,0,0,1,1953,1776,0.7347570893,0.2652429107
Albania,Romania,1,0,0,1602,1689,0.3773498042,0.6226501958
Wales,Russia,3,0,0,1725,1670,0.5784967523,0.4215032477
England,Slovakia,0,0,1,1889,1735,0.7081663883,0.2918336117
North. Ireland,Germany,0,1,0,#N/A,2033,#N/A,#N/A
Ukraine,Poland,0,1,0,1714,1794,0.3868631798,0.6131368202
Spain,Croatia,1,2,0,1918,1826,0.6293885472,0.3706114528
Czech Republic,Turkey,0,2,0,#N/A,1790,#N/A,#N/A
Portugal,Hungary,3,3,1,1874,1695,0.7369947605,0.2630052395
Austria,Iceland,1,2,0,1688,1728,0.4426883662,0.5573116338
Rep. of Ireland,Italy,1,0,0,#N/A,1919,#N/A,#N/A
Sweden,Belgium,0,1,0,1710,1924,0.2258520223,0.7741479777
Portugal,Croatia,1,0,0,1874,1826,0.5686413919,0.4313586081
Switzerland,Poland,1,1,1,1776,1794,0.4741190691,0.5258809309
North. Ireland,Wales,0,1,0,#N/A,1725,#N/A,#N/A
France,Rep. of Ireland,2,1,0,1953,#N/A,#N/A,#N/A
Belgium,Hungary,4,0,0,1924,1695,0.7888870682,0.2111129318
Germany,Slovakia,3,0,0,2033,1735,0.847538724,0.152461276
Sweden,Côte d`Ivoire,2,0,0,1710,#N/A,#N/A,#N/A
Iceland,Canada,2,1,0,1728,1501,0.7869632794,0.2130367206
Sweden,Finland,0,1,0,1710,1550,0.715252751,0.284747249
Iceland,Canada,1,1,1,1728,1501,0.7869632794,0.2130367206
Finland,Yemen,0,0,1,1550,1198,0.8835282881,0.1164717119
Romania*,Moldova,2,1,0,1689,1326,0.8898878422,0.1101121578
Kazakhstan,Moldova,1,1,1,1395,1326,0.5980137658,0.4019862342
Germany,Australia,2,2,1,2033,1692,0.8768522651,0.1231477349
Georgia,Malta,2,0,0,1461,1205,0.8136122105,0.1863877895
Denmark,United States,3,2,0,1722,1747,0.4640840731,0.5359159269
Scotland,North. Ireland,1,0,0,1686,#N/A,#N/A,#N/A
Brazil,France,3,1,0,1953,1953,0.5,0.5
Macedonia,Belarus,1,2,0,1407,1559,0.2942186403,0.7057813597
Luxembourg,Slovakia,0,3,0,1213,1735,0.0472061876,0.9527938124
Spain,Ukraine,1,0,0,1918,1714,0.7639246991,0.2360753009
Lithuania,England,0,4,0,1417,1889,0.0619747159,0.9380252841
San Marino,Slovenia,0,6,0,861,1588,0.0149947267,0.9850052733
Switzerland,Estonia,3,0,0,1776,1444,0.8711477984,0.1288522016
Liechtenstein,Austria,0,5,0,1166,1688,0.0472061876,0.9527938124
Moldova,Sweden,0,2,0,1326,1710,0.0988131709,0.9011868291
Russia,Montenegro,3,0,0,1670,1527,0.6949097127,0.3050902873
Kazakhstan,Iceland,0,3,0,1395,1728,0.128207422,0.871792578
Latvia,Czech Republic,1,1,1,1456,#N/A,#N/A,#N/A
Israel,Wales,0,3,0,1546,1725,0.2630052395,0.7369947605
Malta,Azerbaijan,0,2,0,1205,1368,0.2812431701,0.7187568299
Norway,Croatia,1,5,0,1610,1826,0.2238454247,0.7761545753
Netherlands,Turkey,1,1,1,1903,1790,0.6571186865,0.3428813135
Andorra,Bosnia & Herzegovina,0,3,0,939,#N/A,#N/A,#N/A
